scenario,data_scope,date,month,alpha_gasoline,alpha_diesel,optimal_u_gasoline,optimal_u_diesel,optimal_price_gasoline,optimal_price_diesel,S_gasoline,S_diesel,LC,LF,LV,LT,Lpi,LE,total_loss,f_gasoline,f_diesel,u_hist_gasoline,u_hist_diesel,historical_alpha_gasoline,historical_alpha_diesel,gasoline_price_after,diesel_price_after,grid_step
cpi_priority,backtest_clean,2016-01-27,2016-01-01,1.0,1.0,-325.7853861508645,-312.9340832286773,6599.214613849135,5657.065916771323,0.0,0.0,-2.859778654659034,0.0,1.491931603529166,0.0,0.06715426911777199,0.0,-0.17135230642284976,-325.7853861508645,-312.9340832286773,0,0,-0.0,-0.0,6925,5970,0.01
cpi_priority,backtest_clean,2016-02-15,2016-02-01,0.78,0.77,86.42172121655193,81.83671969357934,6685.6363350656875,5738.902636464903,24.375357266206947,24.4447344539263,0.2192331144768567,0.06593519153423956,1.0616988241535603,0.07703834705895872,0.0,0.0,0.199346766811306,110.79707848275888,106.28145414750564,0,0,0.0,0.0,6925,5970,0.01
cpi_priority,backtest_clean,2016-02-29,2016-02-01,1.0,0.99,56.10225768302926,53.46228632528912,6741.738592748717,5792.3649227901915,17.062750086344856,17.65133721194325,0.09057391094413654,0.03358717654092787,0.030669864302130683,2.2314832580792636e-05,0.0,0.0,0.021679457326768608,56.10225768302926,54.00230941948396,0,0,0.0,0.0,6925,5970,0.01
cpi_priority,backtest_clean,2016-03-14,2016-03-01,0.87,0.86,248.512083578161,236.23954763200098,6990.2506763268775,6028.604470422192,49.0779145606264,50.81353682566274,1.7404440515859216,0.27816904594538755,0.7130673608061482,0.1858465784655236,0.0,0.0,0.40845378515241704,285.646073078346,274.69714840930345,0,0,0.0,0.0,6925,5970,0.01
cpi_priority,backtest_clean,2016-03-28,2016-03-01,0.98,0.98,145.47290476737365,139.9564624068051,7135.723581094251,6168.5609328289975,37.3233749836094,38.42573011279666,0.5604519672295178,0.15973628399521572,0.23347206227991688,0.0010887928324410615,0.0,0.0,0.13366487488719273,148.44173955854455,142.81271674163784,0,0,0.0,0.0,6925,5970,0.01
cpi_priority,backtest_clean,2016-04-12,2016-04-01,0.88,0.88,-88.88258685357629,-85.37700297115087,7046.840994240675,6083.183929857847,14.006009735766185,15.255692491982543,-0.1997586005129101,0.024177550978708797,0.38962550107843313,0.01811416964345795,0.0,0.0,0.032502206966276544,-101.00293960633668,-97.019321558126,0,0,-0.0,-0.0,6925,5970,0.01
cpi_priority,backtest_clean,2016-04-27,2016-04-01,0.86,0.85,246.24919508511692,234.00270441291528,7293.090189325792,6317.186634270763,49.89128508470651,51.97357964078461,1.5540103778858199,0.2896486762887551,1.146137738340915,0.21515398897673318,0.0,0.0,0.448693109408911,286.3362733547871,275.2972993093121,165,160,0.576245538390295,0.5811898641992522,7090,6130,0.01
cpi_priority,backtest_clean,2016-05-12,2016-05-01,0.97,0.97,169.84064740533134,163.362024240435,7462.930836731124,6480.548658511198,40.1767030872945,41.433939487944116,0.698555191410432,0.1857176868331176,0.2682629654685052,0.0034074997127038803,0.0,0.0,0.1618320680794661,175.09345093333127,168.4144579798299,120,115,0.6853483060636648,0.6828392370788792,7210,6245,0.01
cpi_priority,backtest_clean,2016-05-26,2016-05-01,0.94,0.94,179.94061488462066,173.02768313366406,7642.871451615745,6653.576341644862,39.60926332395428,40.048077841582,0.7462006774426285,0.176055713213157,0.26450796800659115,0.0162860712650292,0.0,0.0,0.16842706018983675,191.4261860474688,184.0720033336852,210,200,1.097028595387286,1.0865313376170551,7420,6445,0.01
cpi_priority,backtest_clean,2016-06-09,2016-06-01,1.0,1.0,100.23322113792264,96.43735586995946,7743.104672753668,6750.013697514822,27.726484326768002,28.033654489107406,0.2198292355182835,0.08611454845102992,0.11954027349502817,0.0,0.015458923118898392,0.0,0.05956776804500778,100.23322113792264,96.43735586995946,110,110,1.097440536692302,1.14063683110857,7530,6555,0.01
cpi_priority,backtest_clean,2016-06-23,2016-06-01,0.0,0.0,0.0,0.0,7743.104672753668,6750.013697514822,19.4085390287376,19.62355814237518,0.0,0.04219612874100466,0.05955352575764438,0.0,0.015458923118898392,0.0,0.018882628565480373,0.0,0.0,0,0,,,7530,6555,0.01
cpi_priority,backtest_clean,2016-07-07,2016-07-01,0.0,0.0,0.0,0.0,7743.104672753668,6750.013697514822,13.585977320116319,13.736490699662626,0.0,0.020729305868443952,0.0,0.0,0.06715426911777199,0.0,0.0029021028215821514,0.0,0.0,0,0,,,7530,6555,0.01
